simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.540236510698578254e-12,-5.237399785991585017e-12,-4.085706387088442810e-12,-3.986641832047605383e-12,-4.278053136342233935e-13,-1.386894971056750457e-13
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+00,8.643216080402009727e-01,1.788954583590786206e+04,6.081956672558528953e+04,4.740049202882831742e+04,4.618229283328222664e+04,4.965748413964434803e+03,1.680315674870525754e+03
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+00,1.728643216080401945e+00,5.357001127785151766e+04,1.811358832751868758e+05,1.376875715121079993e+05,1.290911780813107762e+05,1.222891775650608542e+04,3.766977843920672058e+03
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.000000000000000000e+00,2.592964824120603140e+00,1.069388463976806524e+05,3.596394708138564019e+05,2.667642967927520513e+05,2.411931688987316738e+05,2.055310149066471058e+04,5.951172258892265745e+03
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.000000000000000000e+00,3.457286432160803891e+00,1.778895986685584649e+05,5.950339033864157973e+05,4.309110871446581441e+05,3.764839027071587043e+05,2.936473195098925135e+04,8.157725295188127348e+03
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.000000000000000000e+00,4.321608040201004641e+00,2.663119353881744901e+05,8.860355337404542370e+05,6.267498859896266367e+05,5.301754418981686467e+05,3.839707128820031357e+04,1.036802223206291455e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.000000000000000000e+00,5.185929648241206280e+00,3.720916673366721370e+05,1.231373229631766444e+06,8.512117314449775731e+05,6.984475246254656231e+05,4.752541461850164342e+04,1.257714019235622254e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.000000000000000000e+00,6.050251256281407031e+00,4.951107736292268964e+05,1.629788120255811140e+06,1.101507410436796257e+06,8.782496878227341222e+05,5.669080562444970565e+04,1.478347118742148450e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.000000000000000000e+00,6.914572864321607781e+00,6.352474277408493217e+05,2.080033352514858823e+06,1.375100903412132291e+06,1.067143859040416544e+06,6.586472471542475978e+04,1.698621022422826354e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.000000000000000000e+00,7.778894472361808532e+00,7.923760246810726821e+05,2.580873856841485016e+06,1.669685354526761221e+06,1.263179141203770880e+06,7.503274345059723419e+04,1.918474735055046403e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+01,8.643216080402009283e+00,9.663672092866492458e+05,3.131086122281746008e+06,1.983161327370671323e+06,1.464792206820070278e+06,8.418695847234957910e+04,2.137852059539587935e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.100000000000000000e+01,9.507537688442210921e+00,1.157087905588922556e+06,3.729457980519084260e+06,2.313617129083642270e+06,1.670728064484612551e+06,9.332248948580989963e+04,2.356698047940899778e+04
